block_group,slide_group,routing_decision,raw_similarity,routing_uncertain,notes
set_04,set_18,shape,0.1380241290765512,False,Phase 2 set-to-set Hungarian shape similarity
set_04,set_19,constellation,0.47210291192405157,False,constellation L2 on 55-element signature
set_04,set_20,shape_partial,0.08086301994433179,True,shape_partial penalty=0.5
set_04,set_21,shape,0.14157822431897107,False,Phase 2 set-to-set Hungarian shape similarity
set_04,set_22,shape,0.1114183218634825,False,Phase 2 set-to-set Hungarian shape similarity
set_04,set_23,shape,0.1287896466942568,False,Phase 2 set-to-set Hungarian shape similarity
set_04,set_24,shape_partial,0.061312068671196436,True,shape_partial penalty=0.5
set_04,set_25,shape,0.10712808461104975,False,Phase 2 set-to-set Hungarian shape similarity
set_04,set_26,constellation,0.4650524517244339,False,constellation L2 on 55-element signature
set_04,set_27,shape_partial,0.0761416781071595,True,shape_partial penalty=0.5
set_04,set_28,shape,0.14647969994823318,False,Phase 2 set-to-set Hungarian shape similarity
set_04,set_29,shape,0.11524613634266774,False,Phase 2 set-to-set Hungarian shape similarity
set_04,set_30,shape,0.11076897079007929,False,Phase 2 set-to-set Hungarian shape similarity
set_04,set_31,constellation,0.43652539250001005,False,constellation L2 on 55-element signature
set_04,set_32,constellation,0.1619557170541251,False,constellation L2 on 55-element signature
set_04,set_33,constellation,0.31886753923788774,False,constellation L2 on 55-element signature
set_04,set_34,shape,0.14313596697806344,False,Phase 2 set-to-set Hungarian shape similarity
set_04,set_35,shape,0.14476679531139902,False,Phase 2 set-to-set Hungarian shape similarity
set_04,set_36,constellation,0.4734726869173637,False,constellation L2 on 55-element signature
set_04,set_37,constellation,0.23270165824194686,False,constellation L2 on 55-element signature
set_04,set_38,constellation,0.3169402701785524,False,constellation L2 on 55-element signature
set_04,set_39,constellation,0.4454781469663732,False,constellation L2 on 55-element signature
set_04,set_40,shape_partial,0.0781988385558629,True,shape_partial penalty=0.5
set_04,set_41,shape,0.11111159401818363,False,Phase 2 set-to-set Hungarian shape similarity
set_04,set_42,constellation,0.4611607134501981,False,constellation L2 on 55-element signature
set_04,set_43,constellation,0.4835896098609025,False,constellation L2 on 55-element signature
set_04,set_44,shape_partial,0.08204815135747268,True,shape_partial penalty=0.5
set_04,set_45,shape,0.1565476498799575,False,Phase 2 set-to-set Hungarian shape similarity
set_04,set_46,constellation,0.16621397490077425,False,constellation L2 on 55-element signature
set_04,set_47,shape,0.12633990549469234,False,Phase 2 set-to-set Hungarian shape similarity
set_05,set_02,shape,0.1320753004551188,False,Phase 2 set-to-set Hungarian shape similarity
set_05,set_03,constellation,0.5960067527353875,False,constellation L2 on 55-element signature
set_05,set_04,shape,0.14972572136739132,False,Phase 2 set-to-set Hungarian shape similarity
set_05,set_05,shape,0.1669657284949916,False,Phase 2 set-to-set Hungarian shape similarity
set_05,set_06,shape_partial,0.14006589942845835,True,shape_partial penalty=0.5
set_05,set_07,shape,0.14885121942177398,False,Phase 2 set-to-set Hungarian shape similarity
set_05,set_08,shape,0.15849786067225757,False,Phase 2 set-to-set Hungarian shape similarity
set_05,set_09,shape,0.1536120881579436,False,Phase 2 set-to-set Hungarian shape similarity
set_05,set_10,constellation,0.5838392373068191,False,constellation L2 on 55-element signature
set_05,set_11,constellation,0.5334665137226586,False,constellation L2 on 55-element signature
set_05,set_12,constellation,0.5383499909180033,False,constellation L2 on 55-element signature
set_05,set_13,constellation,0.32786366843321507,False,constellation L2 on 55-element signature
set_05,set_14,constellation,0.32603528710087526,False,constellation L2 on 55-element signature
set_05,set_15,shape,0.16731374700747723,False,Phase 2 set-to-set Hungarian shape similarity
set_05,set_16,shape_partial,0.11268021517096091,True,shape_partial penalty=0.5
set_05,set_17,constellation,0.27534053065781333,False,constellation L2 on 55-element signature
set_05,set_18,shape,0.16055688729680362,False,Phase 2 set-to-set Hungarian shape similarity
set_05,set_19,constellation,0.3291289460703916,False,constellation L2 on 55-element signature
set_05,set_20,shape_partial,0.12018424053056194,True,shape_partial penalty=0.5
set_05,set_21,shape,0.16941026108019705,False,Phase 2 set-to-set Hungarian shape similarity
set_05,set_22,shape,0.14970145458420328,False,Phase 2 set-to-set Hungarian shape similarity
set_05,set_23,shape,0.11279842245588974,False,Phase 2 set-to-set Hungarian shape similarity
set_05,set_24,shape_partial,0.06892738567693135,True,shape_partial penalty=0.5
set_05,set_25,shape,0.13635854073519726,False,Phase 2 set-to-set Hungarian shape similarity
set_05,set_26,constellation,0.573869263182287,False,constellation L2 on 55-element signature
set_05,set_27,shape_partial,0.09709774729046194,True,shape_partial penalty=0.5
set_05,set_28,shape,0.17912256987680633,False,Phase 2 set-to-set Hungarian shape similarity
set_05,set_29,shape,0.1782488221584189,False,Phase 2 set-to-set Hungarian shape similarity
set_05,set_30,shape,0.15057179611055857,False,Phase 2 set-to-set Hungarian shape similarity
set_05,set_31,constellation,0.7101178387387993,False,constellation L2 on 55-element signature
